id,full_name,first_name,last_name
203518,Alex Abrines,Alex,Abrines
1630173,Precious Achiuwa,Precious,Achiuwa
203112,Quincy Acy,Quincy,Acy
1629121,Jaylen Adams,Jaylen,Adams
203919,Jordan Adams,Jordan,Adams
203500,Steven Adams,Steven,Adams
1628389,Bam Adebayo,Bam,Adebayo
1629061,Deng Adel,Deng,Adel
202399,Jeff Adrien,Jeff,Adrien
201167,Arron Afflalo,Arron,Afflalo
1630534,Ochai Agbaji,Ochai,Agbaji
200772,Maurice Ager,Maurice,Ager
201336,Blake Ahearn,Blake,Ahearn
201582,Alexis Ajinca,Alexis,Ajinca
203006,Josh Akognon,Josh,Akognon
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell
202374,Solomon Alabi,Solomon,Alabi
1630583,Santi Aldama,Santi,Aldama
203128,Furkan Aldemir,Furkan,Aldemir
202332,Cole Aldrich,Cole,Aldrich
200746,LaMarcus Aldridge,LaMarcus,Aldridge
1626146,Cliff Alexander,Cliff,Alexander
1629734,Kyle Alexander,Kyle,Alexander
1630234,Ty-Shon Alexander,Ty-Shon,Alexander
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker
1628959,Rawle Alkins,Rawle,Alkins
1628960,Grayson Allen,Grayson,Allen
1628386,Jarrett Allen,Jarrett,Allen
1628443,Kadeem Allen,Kadeem,Allen
202730,Lavoy Allen,Lavoy,Allen
2124,Malik Allen,Malik,Allen
951,Ray Allen,Ray,Allen
2754,Tony Allen,Tony,Allen
201165,Morris Almond,Morris,Almond
1630631,Jose Alvarado,Jose,Alvarado
202329,Al-Farouq Aminu,Al-Farouq,Aminu
200811,Lou Amundson,Lou,Amundson
2365,Chris Andersen,Chris,Andersen
2431,David Andersen,David,Andersen
101187,Alan Anderson,Alan,Anderson
202341,James Anderson,James,Anderson
1626147,Justin Anderson,Justin,Anderson
203937,Kyle Anderson,Kyle,Anderson
201583,Ryan Anderson,Ryan,Anderson
1628387,Ike Anigbogu,Ike,Anigbogu
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo
203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo
2546,Carmelo Anthony,Carmelo,Anthony
1630175,Cole Anthony,Cole,Anthony
201202,Joel Anthony,Joel,Anthony
203544,Pero Antic,Pero,Antic
1628384,O.G. Anunoby,O.G.,Anunoby
203951,Keith Appling,Keith,Appling
1627853,Ryan Arcidiacono,Ryan,Arcidiacono
2240,Gilbert Arenas,Gilbert,Arenas
2772,Trevor Ariza,Trevor,Ariza
200756,Hilton Armstrong,Hilton,Armstrong
2306,Carlos Arroyo,Carlos,Arroyo
201589,Darrell Arthur,Darrell,Arthur
1628503,Jamel Artis,Jamel,Artis
201600,Omer Asik,Omer,Asik
201571,D.J. Augustin,D.J.,Augustin
1630166,Deni Avdija,Deni,Avdija
1630555,Joel Ayayi,Joel,Ayayi
202970,Gustavo Ayon,Gustavo,Ayon
201965,Jeff Ayres,Jeff,Ayres
1629028,Deandre Ayton,Deandre,Ayton
101235,Kelenna Azubuike,Kelenna,Azubuike
1628962,Udoka Azubuike,Udoka,Azubuike
203569,Chris Babb,Chris,Babb
202337,Luke Babbitt,Luke,Babbitt
1628407,Dwayne Bacon,Dwayne,Bacon
1628963,Marvin Bagley III,Marvin,Bagley III
203946,Cameron Bairstow,Cameron,Bairstow
1627758,Ron Baker,Ron,Baker
1627735,Wade Baldwin IV,Wade,Baldwin IV
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.
200764,Renaldo Balkman,Renaldo,Balkman
1630163,LaMelo Ball,LaMelo,Ball
1628366,Lonzo Ball,Lonzo,Ball
1628964,Mo Bamba,Mo,Bamba
1631094,Paolo Banchero,Paolo,Banchero
1630217,Desmond Bane,Desmond,Bane
2556,Marcus Banks,Marcus,Banks
1630625,Dalano Banton,Dalano,Banton
1627760,Cat Barber,Cat,Barber
2571,Leandro Barbosa,Leandro,Barbosa
200826,J.J. Barea,J.J.,Barea
200745,Andrea Bargnani,Andrea,Bargnani
1631230,Dominick Barlow,Dominick,Barlow
203084,Harrison Barnes,Harrison,Barnes
2440,Matt Barnes,Matt,Barnes
1630567,Scottie Barnes,Scottie,Barnes
1629628,RJ Barrett,RJ,Barrett
2853,Earl Barron,Earl,Barron
203115,Will Barton,Will,Barton
101138,Brandon Bass,Brandon,Bass
1628238,Paris Bass,Paris,Bass
1629646,Charles Bassey,Charles,Bassey
1628966,Keita Bates-Diop,Keita,Bates-Diop
1499,Tony Battie,Tony,Battie
2203,Shane Battier,Shane,Battier
201587,Nicolas Batum,Nicolas,Batum
201573,Jerryd Bayless,Jerryd,Bayless
203382,Aron Baynes,Aron,Baynes
203145,Kent Bazemore,Kent,Bazemore
1629647,Darius Bazley,Darius,Bazley
203078,Bradley Beal,Bradley,Beal
1627736,Malik Beasley,Malik,Beasley
201563,Michael Beasley,Michael,Beasley
201958,Rodrigue Beaubois,Rodrigue,Beaubois
1630699,MarJon Beauchamp,MarJon,Beauchamp
201158,Marco Belinelli,Marco,Belinelli
2294,Charlie Bell,Charlie,Bell
1628395,Jordan Bell,Jordan,Bell
1952,Raja Bell,Raja,Bell
1627761,DeAndre' Bembry,DeAndre',Bembry
1627733,Dragan Bender,Dragan,Bender
203968,Jerrelle Benimon,Jerrelle,Benimon
203461,Anthony Bennett,Anthony,Bennett
202728,Keith Benson,Keith,Benson
1627791,Ben Bentil,Ben,Bentil
1631262,Jules Bernard,Jules,Bernard
1629541,Dairis Bertans,Dairis,Bertans
202722,Davis Bertans,Davis,Bertans
201976,Patrick Beverley,Patrick,Beverley
1630180,Saddiq Bey,Saddiq,Bey
1630189,Tyler Bey,Tyler,Bey
204021,Sim Bhullar,Sim,Bhullar
1710,Mike Bibby,Mike,Bibby
2740,Andris Biedrins,Andris,Biedrins
1497,Chauncey Billups,Chauncey,Billups
203920,Khem Birch,Khem,Birch
1628444,Jabari Bird,Jabari,Bird
1629048,Goga Bitadze,Goga,Bitadze
202687,Bismack Biyombo,Bismack,Biyombo
202357,Nemanja Bjelica,Nemanja,Bjelica
