game_data,gameId,teamId,teamCity,teamName,personId,personName,position,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
2012-06-03,41100304,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-09,41100307,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-05,41000403,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,1,2,0,1,1,0,0,0,1,1,6
2012-04-28,41100111,1610612748,Miami,Heat,436,Juwan Howard,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
2012-05-15,41100202,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,41000401,1610612748,Miami,Heat,436,Juwan Howard,,0,1,0,0,2,2,3,0,0,0,0,0,0,2,2
2011-05-07,41000213,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-02,41000402,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-13,41100201,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-24,41000304,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-14,41100402,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-12,41100401,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-05,41100305,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-17,41100403,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-19,41100404,1610612748,Miami,Heat,436,Juwan Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
